                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5867,                 3.0382,                 1.4949,                0.82252,                 0.0738,                0.15441,                0.07493,                 1.5525,                 3.5435,                 1.4439,             0.00054065,             0.00054065,             0.00054065
                      1,                 1.6411,                 2.4484,                 1.4996,                0.65895,                0.17672,                0.20618,                0.09191,                 1.6537,                 3.3107,                 1.5705,             0.00082498,             0.00082498,             0.00082498
                      2,                 1.6101,                 2.2747,                 1.4781,                0.51969,                0.44059,                0.42081,                0.20235,                 1.7361,                 2.6752,                 1.5964,             0.00083425,             0.00083425,             0.00083425
                      3,                 1.5399,                 2.1665,                 1.4077,                0.56995,                0.53471,                0.54009,                0.28867,                 1.4779,                 2.2159,                 1.3924,             0.00042925,             0.00042925,             0.00042925
