                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8635,                 4.6847,                 4.2383,                0.00169,                0.15911,                0.00186,                0.00062,                 4.0645,                 4.9266,                 4.1508,             0.00054065,             0.00054065,             0.00054065
                      1,                 3.6812,                 4.4493,                 4.0129,                0.00063,                0.12872,                0.00066,                0.00018,                 4.3654,                 4.9528,                 4.5743,              0.0010746,              0.0010746,              0.0010746
                      2,                 3.5124,                 4.2135,                 3.7396,                0.00147,                0.27291,                0.00127,                0.00043,                 3.6676,                 53.045,                 4.3744,              0.0015866,              0.0015866,              0.0015866
                      3,                 3.2594,                 4.0611,                 3.4645,                0.00916,                0.09459,                0.00344,                0.00111,                 3.3912,                 76.963,                 4.7067,               0.001568,               0.001568,               0.001568
                      4,                 3.1351,                 3.8335,                 3.2993,                0.10103,                0.09711,                0.04159,                0.01151,                 3.0392,                 5.9567,                 3.3276,               0.001568,               0.001568,               0.001568
                      5,                 3.0733,                 3.7305,                 3.1774,                0.07835,                0.10611,                0.03656,                0.01007,                 2.9936,                  4.477,                 3.1904,               0.001535,               0.001535,               0.001535
                      6,                 3.0153,                 3.6107,                 3.1238,                0.12502,                0.13325,                0.06324,                0.01812,                 2.9398,                 5.5309,                 3.1306,               0.001502,               0.001502,               0.001502
                      7,                  2.961,                 3.4325,                 3.0352,                0.12701,                0.07998,                0.05397,                0.01715,                 2.8573,                 3.6755,                  3.003,               0.001469,               0.001469,               0.001469
                      8,                 2.8695,                 3.3087,                 2.9555,                0.14795,                 0.1417,                0.06811,                0.01969,                 2.8321,                 4.0654,                 2.9542,               0.001436,               0.001436,               0.001436
                      9,                 2.8788,                 3.3263,                 2.9274,                0.65703,                0.11628,                0.09634,                0.03327,                 2.7495,                 3.4101,                 2.8493,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.7914,                 3.1916,                 2.8775,                0.68285,                0.13605,                0.11377,                0.03547,                 2.7587,                 3.5105,                 2.8369,              0.0013699,              0.0013699,              0.0013699
                     11,                 2.7285,                 3.2005,                 2.8638,                 0.6833,                0.16279,                0.14743,                 0.0512,                  2.713,                 3.8809,                 2.7687,              0.0013369,              0.0013369,              0.0013369
                     12,                  2.762,                 3.1273,                 2.8019,                0.21824,                0.20011,                0.15078,                0.05168,                 2.5972,                 3.4198,                 2.7035,              0.0013039,              0.0013039,              0.0013039
                     13,                 2.6867,                 3.0476,                 2.7544,                0.26789,                0.22027,                0.15433,                0.05362,                 2.5929,                 3.1762,                 2.6794,              0.0012709,              0.0012709,              0.0012709
                     14,                 2.6461,                 2.9707,                 2.6904,                0.32851,                0.28038,                0.20598,                0.07548,                 2.5289,                 3.0987,                 2.6412,              0.0012379,              0.0012379,              0.0012379
                     15,                 2.5357,                 2.9035,                 2.6292,                0.28277,                0.25494,                0.18142,                0.06898,                 2.5136,                 3.2028,                 2.6291,              0.0012049,              0.0012049,              0.0012049
                     16,                 2.5382,                 2.9488,                 2.6349,                0.18961,                0.27188,                0.18764,                0.06805,                  2.479,                 2.7832,                 2.5709,              0.0011719,              0.0011719,              0.0011719
                     17,                 2.4934,                 2.8638,                 2.5893,                0.26589,                0.22531,                0.20643,                0.07454,                  2.472,                 3.1002,                 2.5601,              0.0011389,              0.0011389,              0.0011389
                     18,                 2.4833,                 2.8407,                 2.6058,                0.26401,                0.24181,                0.16771,                0.06263,                 2.4552,                 2.9725,                 2.5816,              0.0011059,              0.0011059,              0.0011059
                     19,                 2.4532,                 2.7992,                 2.5327,                0.21576,                0.23615,                 0.1684,                0.05885,                 2.5738,                 3.0722,                 2.6169,              0.0010729,              0.0010729,              0.0010729
                     20,                 2.4737,                 2.8562,                  2.576,                0.28444,                0.26963,                0.19557,                0.06977,                 2.3766,                 2.9827,                 2.5185,              0.0010399,              0.0010399,              0.0010399
                     21,                 2.4009,                 2.8254,                 2.5619,                0.32224,                0.23709,                0.19331,                0.07136,                  2.359,                  2.908,                  2.512,              0.0010069,              0.0010069,              0.0010069
                     22,                 2.3951,                 2.7925,                 2.5264,                0.33688,                0.31871,                 0.2487,                0.08419,                 2.3314,                 2.6732,                  2.472,             0.00097386,             0.00097386,             0.00097386
                     23,                 2.3404,                 2.6938,                 2.5363,                0.31664,                0.30122,                0.23805,                0.08577,                 2.3981,                 2.8403,                 2.4902,             0.00094085,             0.00094085,             0.00094085
                     24,                 2.3738,                 2.7872,                 2.5246,                0.37582,                0.30052,                0.26628,                0.09403,                 2.3565,                 2.7345,                 2.5127,             0.00090785,             0.00090785,             0.00090785
                     25,                 2.3191,                 2.6803,                  2.479,                0.33739,                0.30691,                0.26514,                0.10894,                 2.2718,                 2.5654,                 2.4295,             0.00087484,             0.00087484,             0.00087484
                     26,                 2.3143,                  2.596,                 2.4247,                 0.2872,                0.35844,                 0.2804,                0.11346,                 2.2659,                 2.6434,                 2.4038,             0.00084184,             0.00084184,             0.00084184
                     27,                 2.2705,                 2.5538,                 2.3758,                0.34405,                 0.3413,                 0.2917,                0.11448,                  2.243,                 2.4569,                 2.3734,             0.00080883,             0.00080883,             0.00080883
                     28,                 2.2503,                 2.5742,                  2.399,                0.37478,                0.35257,                0.30544,                0.11425,                 2.2313,                 2.3987,                 2.3588,             0.00077582,             0.00077582,             0.00077582
                     29,                  2.262,                 2.5441,                 2.3929,                0.35077,                0.33165,                0.28366,                0.11591,                 2.1679,                  2.424,                 2.2949,             0.00074282,             0.00074282,             0.00074282
                     30,                 2.2371,                 2.5672,                 2.3969,                0.38803,                0.32281,                0.29644,                0.11558,                 2.2066,                  2.516,                 2.3652,             0.00070981,             0.00070981,             0.00070981
                     31,                 2.2464,                 2.5803,                 2.4059,                0.40924,                0.36352,                0.32222,                0.12236,                 2.1791,                 2.3887,                 2.3288,              0.0006768,              0.0006768,              0.0006768
                     32,                 2.1894,                 2.4819,                 2.3274,                0.40329,                0.36748,                0.33655,                0.13356,                 2.1386,                 2.3233,                 2.2996,              0.0006438,              0.0006438,              0.0006438
                     33,                 2.1709,                 2.4859,                 2.3546,                0.39795,                0.37173,                0.34927,                0.14921,                 2.1072,                 2.2904,                 2.2781,             0.00061079,             0.00061079,             0.00061079
                     34,                 2.1612,                 2.4057,                 2.2666,                0.42846,                0.38964,                0.36781,                0.15015,                 2.1048,                  2.226,                 2.2722,             0.00057778,             0.00057778,             0.00057778
                     35,                 2.1075,                 2.4076,                 2.3027,                 0.3609,                0.39114,                0.34999,                0.14667,                 2.0707,                 2.2926,                 2.2339,             0.00054478,             0.00054478,             0.00054478
                     36,                 2.1177,                 2.4028,                 2.2725,                0.45945,                0.38712,                0.37352,                0.15834,                 2.0586,                 2.2143,                  2.226,             0.00051177,             0.00051177,             0.00051177
                     37,                 2.0875,                 2.3945,                 2.2683,                0.43826,                0.40492,                0.38413,                 0.1686,                  2.037,                  2.164,                 2.2046,             0.00047876,             0.00047876,             0.00047876
                     38,                  2.069,                 2.4258,                 2.2984,                0.42227,                0.39713,                0.38835,                0.16672,                 2.0249,                 2.1836,                 2.2068,             0.00044576,             0.00044576,             0.00044576
                     39,                  2.098,                 2.3536,                 2.2613,                0.51782,                0.41317,                0.41447,                0.17596,                 2.0207,                 2.1465,                 2.2006,             0.00041275,             0.00041275,             0.00041275
                     40,                 2.1166,                 2.2952,                 2.2968,                0.44982,                0.38943,                0.37336,                0.15578,                 2.0766,                 2.2181,                  2.256,             0.00037974,             0.00037974,             0.00037974
                     41,                 2.0948,                 2.2603,                  2.234,                0.45953,                0.43313,                0.40692,                0.17603,                 2.0026,                  2.094,                 2.1825,             0.00034674,             0.00034674,             0.00034674
                     42,                 2.0277,                 2.1735,                 2.2085,                0.51931,                0.42807,                0.43869,                0.19052,                 1.9968,                 2.0653,                 2.1686,             0.00031373,             0.00031373,             0.00031373
                     43,                 2.0157,                  2.127,                 2.1792,                0.52352,                 0.4582,                 0.4627,                 0.2101,                 1.9364,                  1.973,                  2.133,             0.00028072,             0.00028072,             0.00028072
                     44,                 2.0284,                 2.1186,                 2.1761,                0.57546,                 0.4579,                0.48264,                0.21339,                 1.9457,                 1.9663,                  2.138,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.9837,                 2.0965,                 2.1649,                0.56278,                0.45649,                0.48852,                0.22889,                 1.8952,                 1.9692,                 2.0951,             0.00021471,             0.00021471,             0.00021471
                     46,                 1.9787,                 2.0672,                 2.1552,                0.52724,                0.48579,                0.48001,                0.21723,                 1.9136,                 1.9276,                 2.1025,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.9584,                  1.995,                 2.1274,                0.55553,                0.47882,                0.50301,                0.23684,                 1.8719,                 1.8858,                 2.0696,              0.0001487,              0.0001487,              0.0001487
                     48,                 1.9504,                 2.0547,                 2.1475,                0.56521,                0.50584,                0.51751,                0.23658,                 1.8856,                 1.8779,                 2.0688,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.9042,                  1.949,                 2.0829,                0.56502,                0.49935,                0.51535,                0.24116,                 1.8682,                 1.8412,                 2.0551,             8.2683e-05,             8.2683e-05,             8.2683e-05
